atributos,fase_operacao,ocorrencias,percentual
0,***,1,0.019
1,APROXIMAÇÃO FINAL,234,4.51
2,ARREMETIDA NO AR,25,0.482
3,ARREMETIDA NO SOLO,42,0.81
4,CHEQUE DE MOTOR OU ROTOR,13,0.251
5,CIRCUITO DE TRÁFEGO,125,2.409
6,CORRIDA APÓS POUSO,602,11.604
7,CRUZEIRO,660,12.722
8,DECOLAGEM,795,15.324
9,DECOLAGEM VERTICAL,8,0.154
10,DESCIDA,192,3.701
11,DESCIDA DE EMERGÊNCIA,2,0.039
12,DESCIDA DESCONTROLADA,2,0.039
13,EMPREGO MILITAR,1,0.019
14,ESPECIALIZADA,173,3.335
15,ESPERA,4,0.077
16,ESTACIONAMENTO,72,1.388
17,INDETERMINADA,71,1.369
18,MANOBRA,161,3.103
19,NAVEGAÇÃO A BAIXA ALTURA,60,1.157
20,OPERAÇÃO DE SOLO,46,0.887
21,OUTRA FASE,101,1.947
22,PAIRADO,20,0.386
23,PARTIDA DO MOTOR,30,0.578
24,POUSO,914,17.618
25,PROCEDIMENTO DE APROXIMAÇÃO IFR,7,0.135
26,PUSHBACK,6,0.116
27,RETA FINAL,16,0.308
28,SAÍDA IFR,7,0.135
29,SUBIDA,359,6.92
30,TÁXI,439,8.462
